Fecha;Hora;Clase de Vuelo;Clasificación Vuelo;Tipo de Movimiento;Origen OACI;Destino OACI;Aerolinea Nombre;Aeronave
3/1/2020;10;No Regular                          ;Internacional;Despegue  ;SABE;SULS;N/A                           ;EMBRAER E-500  
3/1/2020;10;Regular                             ;Cabotaje     ;Aterrizaje;SADP;SARI;Flybondi                      ;BOEING B-737   
3/1/2020;10;Regular                             ;Cabotaje     ;Aterrizaje;SABE;SARE;Austral Líneas Aéreas         ;EMBRAER E-190  
3/1/2020;10;Regular                             ;Internacional;Aterrizaje;SBGR;SAEZ;Aerolíneas Argentinas         ;BOEING B-737   
3/1/2020;10;Vuelo Privado con Matrícula Nacional;Cabotaje     ;Despegue  ;SAVV;SAVN;N/A                           ;PIPER PA-23    
3/1/2020;10;No Regular                          ;Cabotaje     ;Aterrizaje;SACO;SABE;N/A                           ;LEARJET LJ-35  
3/1/2020;10;Regular                             ;Cabotaje     ;Aterrizaje;SAZN;SAVC;Austral Líneas Aéreas         ;EMBRAER E-190  
3/1/2020;10;Regular                             ;Internacional;Despegue  ;SAEZ;SCEL;Sky Airline                   ;AIRBUS A-320   
3/1/2020;10;Regular                             ;Cabotaje     ;Despegue  ;SAZS;SADP;Flybondi                      ;BOEING B-737   
3/1/2020;10;No Regular                          ;Cabotaje     ;Despegue  ;SABE;SAWP;American Jet                  ;EMBRAER E-145  
3/1/2020;10;Regular                             ;Cabotaje     ;Aterrizaje;SANT;SACO;Austral Líneas Aéreas         ;EMBRAER E-190  
3/1/2020;10;Regular                             ;Cabotaje     ;Despegue  ;SADP;SADP;Fuerza Aérea Argentina        ;FOKKER F28     
3/1/2020;10;Regular                             ;Internacional;Aterrizaje;SGAS;SAEZ;Austral Líneas Aéreas         ;EMBRAER E-190  
3/1/2020;10;Regular                             ;Cabotaje     ;Aterrizaje;SARP;SABE;Austral Líneas Aéreas         ;EMBRAER E-190  
3/1/2020;10;Regular                             ;Cabotaje     ;Aterrizaje;SAZN;SABE;LATAM Argentina               ;AIRBUS A-320   
3/1/2020;10;Regular                             ;Internacional;Aterrizaje;KJFK;SAEZ;American Airlines             ;BOEING B-777   
3/1/2020;10;Regular                             ;Internacional;Despegue  ;SAEZ;SBFL;Aerolíneas Argentinas         ;BOEING B-737   
3/1/2020;10;Regular                             ;Cabotaje     ;Despegue  ;SABE;SACO;Aerolíneas Argentinas         ;BOEING B-737   
3/1/2020;10;Regular                             ;Cabotaje     ;Aterrizaje;SAME;SACO;Austral Líneas Aéreas         ;EMBRAER E-190  
3/1/2020;10;Vuelo Privado con Matrícula Nacional;Cabotaje     ;Despegue  ;SADF;SAZS;N/A                           ;BEECHCRAFT BE30
3/1/2020;10;Regular                             ;Internacional;Aterrizaje;SUMU;SABE;Austral Líneas Aéreas         ;EMBRAER E-190  
